iteration,original_grad_norm,regularized_grad_norm
293,"tensor(2.4119, device='cuda:0')","tensor(7.5621, device='cuda:0')"
294,"tensor(2.6111, device='cuda:0')","tensor(8.3354, device='cuda:0')"
295,"tensor(2.4467, device='cuda:0')","tensor(8.5944, device='cuda:0')"
296,"tensor(2.2077, device='cuda:0')","tensor(8.6051, device='cuda:0')"
297,"tensor(2.1717, device='cuda:0')","tensor(8.8762, device='cuda:0')"
298,"tensor(2.3211, device='cuda:0')","tensor(9.8631, device='cuda:0')"
299,"tensor(2.3913, device='cuda:0')","tensor(9.6560, device='cuda:0')"
300,"tensor(2.3598, device='cuda:0')","tensor(10.6160, device='cuda:0')"
301,"tensor(2.8142, device='cuda:0')","tensor(9.1298, device='cuda:0')"
302,"tensor(2.5341, device='cuda:0')","tensor(9.7091, device='cuda:0')"
303,"tensor(2.9656, device='cuda:0')","tensor(11.7987, device='cuda:0')"
304,"tensor(2.4055, device='cuda:0')","tensor(13.3453, device='cuda:0')"
305,"tensor(2.6896, device='cuda:0')","tensor(15.5132, device='cuda:0')"
306,"tensor(2.0905, device='cuda:0')","tensor(20.7222, device='cuda:0')"
307,"tensor(2.8313, device='cuda:0')","tensor(21.3076, device='cuda:0')"
308,"tensor(2.3390, device='cuda:0')","tensor(17.4260, device='cuda:0')"
309,"tensor(2.5970, device='cuda:0')","tensor(17.1880, device='cuda:0')"
310,"tensor(2.1839, device='cuda:0')","tensor(14.5844, device='cuda:0')"
311,"tensor(2.2270, device='cuda:0')","tensor(7.6903, device='cuda:0')"
312,"tensor(2.1977, device='cuda:0')","tensor(8.8467, device='cuda:0')"
313,"tensor(2.3701, device='cuda:0')","tensor(9.7338, device='cuda:0')"
314,"tensor(2.8457, device='cuda:0')","tensor(12.6175, device='cuda:0')"
315,"tensor(3.0650, device='cuda:0')","tensor(13.0421, device='cuda:0')"
316,"tensor(3.4173, device='cuda:0')","tensor(14.3123, device='cuda:0')"
317,"tensor(3.6281, device='cuda:0')","tensor(14.4654, device='cuda:0')"
318,"tensor(4.3958, device='cuda:0')","tensor(16.2266, device='cuda:0')"
319,"tensor(4.8733, device='cuda:0')","tensor(17.3630, device='cuda:0')"
320,"tensor(4.8133, device='cuda:0')","tensor(19.0491, device='cuda:0')"
321,"tensor(5.1931, device='cuda:0')","tensor(14.1077, device='cuda:0')"
322,"tensor(5.7224, device='cuda:0')","tensor(19.7748, device='cuda:0')"
323,"tensor(5.6639, device='cuda:0')","tensor(19.0293, device='cuda:0')"
324,"tensor(5.4067, device='cuda:0')","tensor(18.9408, device='cuda:0')"
325,"tensor(5.0824, device='cuda:0')","tensor(18.8682, device='cuda:0')"
326,"tensor(4.9679, device='cuda:0')","tensor(20.3605, device='cuda:0')"
327,"tensor(4.5143, device='cuda:0')","tensor(26.0417, device='cuda:0')"
328,"tensor(4.6072, device='cuda:0')","tensor(27.4084, device='cuda:0')"
329,"tensor(4.5167, device='cuda:0')","tensor(28.8436, device='cuda:0')"
330,"tensor(6.7826, device='cuda:0')","tensor(62.5229, device='cuda:0')"
331,"tensor(6.6061, device='cuda:0')","tensor(15.2368, device='cuda:0')"
332,"tensor(5.2324, device='cuda:0')","tensor(15.3705, device='cuda:0')"
333,"tensor(4.6872, device='cuda:0')","tensor(15.0381, device='cuda:0')"
334,"tensor(4.1536, device='cuda:0')","tensor(18.8389, device='cuda:0')"
335,"tensor(3.4590, device='cuda:0')","tensor(19.0358, device='cuda:0')"
336,"tensor(3.0565, device='cuda:0')","tensor(18.0882, device='cuda:0')"
337,"tensor(3.4564, device='cuda:0')","tensor(17.1123, device='cuda:0')"
338,"tensor(2.7265, device='cuda:0')","tensor(16.1534, device='cuda:0')"
339,"tensor(2.3235, device='cuda:0')","tensor(16.0119, device='cuda:0')"
340,"tensor(2.6668, device='cuda:0')","tensor(17.0454, device='cuda:0')"
341,"tensor(2.9394, device='cuda:0')","tensor(10.3968, device='cuda:0')"
342,"tensor(2.7928, device='cuda:0')","tensor(11.0919, device='cuda:0')"
343,"tensor(3.2183, device='cuda:0')","tensor(12.2490, device='cuda:0')"
344,"tensor(2.5268, device='cuda:0')","tensor(11.0287, device='cuda:0')"
345,"tensor(1.8249, device='cuda:0')","tensor(10.6895, device='cuda:0')"
346,"tensor(2.8645, device='cuda:0')","tensor(14.9591, device='cuda:0')"
347,"tensor(3.4378, device='cuda:0')","tensor(16.8837, device='cuda:0')"
