pi,trace(a),trace(g)
"tensor(32423.2246, device='cuda:0')","tensor(6307544.5000, device='cuda:0')","tensor(0.0192, device='cuda:0')"
"tensor(35900.5000, device='cuda:0')","tensor(8553272., device='cuda:0')","tensor(0.0022, device='cuda:0')"
"tensor(7539.3535, device='cuda:0')","tensor(3134211.5000, device='cuda:0')","tensor(0.0183, device='cuda:0')"
"tensor(26618.2344, device='cuda:0')","tensor(3818499., device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(4117.2275, device='cuda:0')","tensor(906082., device='cuda:0')","tensor(0.0177, device='cuda:0')"
"tensor(22264.5410, device='cuda:0')","tensor(2491374., device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(4723.2876, device='cuda:0')","tensor(1152079.3750, device='cuda:0')","tensor(0.0171, device='cuda:0')"
"tensor(13201.6455, device='cuda:0')","tensor(1022030.0625, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(2792.7542, device='cuda:0')","tensor(391050.6875, device='cuda:0')","tensor(0.0166, device='cuda:0')"
"tensor(8683.5176, device='cuda:0')","tensor(572980.7500, device='cuda:0')","tensor(0.0025, device='cuda:0')"
"tensor(1959.6284, device='cuda:0')","tensor(173998.8438, device='cuda:0')","tensor(0.0150, device='cuda:0')"
"tensor(7990.3120, device='cuda:0')","tensor(449436.7500, device='cuda:0')","tensor(0.0023, device='cuda:0')"
"tensor(1437.5345, device='cuda:0')","tensor(84837.1797, device='cuda:0')","tensor(0.0136, device='cuda:0')"
"tensor(9162.0205, device='cuda:0')","tensor(223722.6406, device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(663.9637, device='cuda:0')","tensor(16977.2656, device='cuda:0')","tensor(0.0128, device='cuda:0')"
"tensor(9734.3496, device='cuda:0')","tensor(215526.5469, device='cuda:0')","tensor(0.0008, device='cuda:0')"
"tensor(629.8284, device='cuda:0')","tensor(14778.0371, device='cuda:0')","tensor(0.0124, device='cuda:0')"
