iteration,original_grad_norm,regularized_grad_norm
312,"tensor(2.4801, device='cuda:0')","tensor(9.8811, device='cuda:0')"
313,"tensor(2.5418, device='cuda:0')","tensor(10.5234, device='cuda:0')"
314,"tensor(3.1247, device='cuda:0')","tensor(13.1812, device='cuda:0')"
315,"tensor(3.2981, device='cuda:0')","tensor(14.0702, device='cuda:0')"
316,"tensor(3.8084, device='cuda:0')","tensor(16.2304, device='cuda:0')"
317,"tensor(4.4112, device='cuda:0')","tensor(17.5210, device='cuda:0')"
318,"tensor(5.4719, device='cuda:0')","tensor(21.2284, device='cuda:0')"
319,"tensor(6.1803, device='cuda:0')","tensor(24.1529, device='cuda:0')"
320,"tensor(5.4054, device='cuda:0')","tensor(28.0209, device='cuda:0')"
321,"tensor(5.9054, device='cuda:0')","tensor(15.6903, device='cuda:0')"
322,"tensor(7.5561, device='cuda:0')","tensor(25.1350, device='cuda:0')"
323,"tensor(7.3607, device='cuda:0')","tensor(23.9122, device='cuda:0')"
324,"tensor(6.5208, device='cuda:0')","tensor(21.6944, device='cuda:0')"
325,"tensor(6.0043, device='cuda:0')","tensor(22.1079, device='cuda:0')"
326,"tensor(5.7456, device='cuda:0')","tensor(22.3324, device='cuda:0')"
327,"tensor(4.5876, device='cuda:0')","tensor(27.2017, device='cuda:0')"
328,"tensor(4.7994, device='cuda:0')","tensor(28.1346, device='cuda:0')"
329,"tensor(4.4204, device='cuda:0')","tensor(26.8456, device='cuda:0')"
330,"tensor(7.4598, device='cuda:0')","tensor(54.7871, device='cuda:0')"
331,"tensor(8.5240, device='cuda:0')","tensor(15.3640, device='cuda:0')"
332,"tensor(5.0664, device='cuda:0')","tensor(14.8919, device='cuda:0')"
333,"tensor(4.0845, device='cuda:0')","tensor(14.9690, device='cuda:0')"
334,"tensor(3.2784, device='cuda:0')","tensor(19.1316, device='cuda:0')"
335,"tensor(2.4317, device='cuda:0')","tensor(19.0587, device='cuda:0')"
336,"tensor(2.7205, device='cuda:0')","tensor(19.6878, device='cuda:0')"
337,"tensor(2.6439, device='cuda:0')","tensor(18.3970, device='cuda:0')"
338,"tensor(2.6415, device='cuda:0')","tensor(15.8823, device='cuda:0')"
339,"tensor(2.7381, device='cuda:0')","tensor(18.0319, device='cuda:0')"
340,"tensor(2.8689, device='cuda:0')","tensor(19.0374, device='cuda:0')"
341,"tensor(3.0126, device='cuda:0')","tensor(11.0953, device='cuda:0')"
342,"tensor(3.0700, device='cuda:0')","tensor(12.1611, device='cuda:0')"
343,"tensor(3.2036, device='cuda:0')","tensor(12.8591, device='cuda:0')"
344,"tensor(2.7981, device='cuda:0')","tensor(12.3852, device='cuda:0')"
345,"tensor(2.4790, device='cuda:0')","tensor(12.0483, device='cuda:0')"
346,"tensor(3.9970, device='cuda:0')","tensor(18.5731, device='cuda:0')"
347,"tensor(4.3431, device='cuda:0')","tensor(19.8474, device='cuda:0')"
