iteration,original_grad_norm,regularized_grad_norm
284,"tensor(12.9038, device='cuda:0')","tensor(48.7940, device='cuda:0')"
285,"tensor(9.4557, device='cuda:0')","tensor(39.5120, device='cuda:0')"
286,"tensor(6.3546, device='cuda:0')","tensor(40.2309, device='cuda:0')"
287,"tensor(4.2186, device='cuda:0')","tensor(32.7581, device='cuda:0')"
288,"tensor(6.7109, device='cuda:0')","tensor(34.6413, device='cuda:0')"
289,"tensor(5.3835, device='cuda:0')","tensor(40.7350, device='cuda:0')"
290,"tensor(4.0830, device='cuda:0')","tensor(37.3884, device='cuda:0')"
291,"tensor(7.9042, device='cuda:0')","tensor(14.8943, device='cuda:0')"
292,"tensor(7.9269, device='cuda:0')","tensor(19.1420, device='cuda:0')"
293,"tensor(8.4093, device='cuda:0')","tensor(17.8483, device='cuda:0')"
294,"tensor(10.4801, device='cuda:0')","tensor(28.4512, device='cuda:0')"
295,"tensor(7.7184, device='cuda:0')","tensor(25.2426, device='cuda:0')"
296,"tensor(7.8852, device='cuda:0')","tensor(24.3605, device='cuda:0')"
297,"tensor(7.7130, device='cuda:0')","tensor(22.1250, device='cuda:0')"
298,"tensor(8.0725, device='cuda:0')","tensor(27.6056, device='cuda:0')"
299,"tensor(9.2257, device='cuda:0')","tensor(31.4394, device='cuda:0')"
300,"tensor(4.2013, device='cuda:0')","tensor(21.6776, device='cuda:0')"
301,"tensor(5.5576, device='cuda:0')","tensor(13.7605, device='cuda:0')"
302,"tensor(5.1731, device='cuda:0')","tensor(15.4576, device='cuda:0')"
303,"tensor(3.8279, device='cuda:0')","tensor(19.1362, device='cuda:0')"
304,"tensor(3.7915, device='cuda:0')","tensor(25.0948, device='cuda:0')"
305,"tensor(3.4572, device='cuda:0')","tensor(29.1525, device='cuda:0')"
306,"tensor(8.5877, device='cuda:0')","tensor(64.8935, device='cuda:0')"
307,"tensor(4.2476, device='cuda:0')","tensor(45.4304, device='cuda:0')"
308,"tensor(4.2301, device='cuda:0')","tensor(36.0126, device='cuda:0')"
309,"tensor(4.7694, device='cuda:0')","tensor(37.0669, device='cuda:0')"
310,"tensor(4.2639, device='cuda:0')","tensor(35.1551, device='cuda:0')"
311,"tensor(7.2161, device='cuda:0')","tensor(16.8811, device='cuda:0')"
312,"tensor(11.2225, device='cuda:0')","tensor(23.6173, device='cuda:0')"
313,"tensor(8.0554, device='cuda:0')","tensor(21.9620, device='cuda:0')"
314,"tensor(10.5755, device='cuda:0')","tensor(31.0222, device='cuda:0')"
315,"tensor(8.9020, device='cuda:0')","tensor(28.0123, device='cuda:0')"
316,"tensor(9.6363, device='cuda:0')","tensor(32.2725, device='cuda:0')"
317,"tensor(9.8036, device='cuda:0')","tensor(35.3949, device='cuda:0')"
318,"tensor(11.0495, device='cuda:0')","tensor(46.0917, device='cuda:0')"
319,"tensor(12.8911, device='cuda:0')","tensor(58.0497, device='cuda:0')"
320,"tensor(9.0984, device='cuda:0')","tensor(68.6339, device='cuda:0')"
321,"tensor(7.5407, device='cuda:0')","tensor(21.8046, device='cuda:0')"
322,"tensor(14.2790, device='cuda:0')","tensor(46.5580, device='cuda:0')"
323,"tensor(9.8194, device='cuda:0')","tensor(38.7807, device='cuda:0')"
324,"tensor(8.3624, device='cuda:0')","tensor(37.4441, device='cuda:0')"
325,"tensor(8.9613, device='cuda:0')","tensor(44.6244, device='cuda:0')"
326,"tensor(8.5669, device='cuda:0')","tensor(49.4827, device='cuda:0')"
327,"tensor(10.8397, device='cuda:0')","tensor(65.8430, device='cuda:0')"
328,"tensor(10.5294, device='cuda:0')","tensor(64.4200, device='cuda:0')"
329,"tensor(6.9050, device='cuda:0')","tensor(55.8746, device='cuda:0')"
330,"tensor(14.2781, device='cuda:0')","tensor(135.9646, device='cuda:0')"
331,"tensor(12.3232, device='cuda:0')","tensor(27.8299, device='cuda:0')"
332,"tensor(6.4426, device='cuda:0')","tensor(29.5442, device='cuda:0')"
333,"tensor(4.6730, device='cuda:0')","tensor(31.0827, device='cuda:0')"
334,"tensor(4.4884, device='cuda:0')","tensor(39.9173, device='cuda:0')"
335,"tensor(5.3680, device='cuda:0')","tensor(41.9082, device='cuda:0')"
336,"tensor(6.4199, device='cuda:0')","tensor(43.0973, device='cuda:0')"
337,"tensor(4.8306, device='cuda:0')","tensor(39.9341, device='cuda:0')"
338,"tensor(6.8620, device='cuda:0')","tensor(39.7391, device='cuda:0')"
339,"tensor(8.3080, device='cuda:0')","tensor(44.6896, device='cuda:0')"
340,"tensor(6.5908, device='cuda:0')","tensor(42.3358, device='cuda:0')"
341,"tensor(5.5699, device='cuda:0')","tensor(22.1911, device='cuda:0')"
342,"tensor(6.7877, device='cuda:0')","tensor(25.6001, device='cuda:0')"
343,"tensor(7.6407, device='cuda:0')","tensor(26.8795, device='cuda:0')"
344,"tensor(6.8476, device='cuda:0')","tensor(28.4315, device='cuda:0')"
345,"tensor(9.4333, device='cuda:0')","tensor(32.3550, device='cuda:0')"
346,"tensor(13.3982, device='cuda:0')","tensor(54.9810, device='cuda:0')"
347,"tensor(10.6111, device='cuda:0')","tensor(53.5851, device='cuda:0')"
