iteration,original_grad_norm,regularized_grad_norm,target_norm,input_norm,new_input_norm,old_input_norm,bound_norm,scale,regul,deg_f
81,1.0273878574371338,10.14773178100586,150.48841857910156,9.593681335449219,9.593681335449219,0.0,415.6921938165305,0.1,0.001,5.0
82,2.8242783546447754,0.49405747652053833,15804.5078125,1692.2154541015625,1692.2154541015625,0.0,415.6921938165305,0.1,0.001,5.0
83,3.7069544792175293,27.964197158813477,0.1980094313621521,3.0168776512145996,3.0168776512145996,0.0,415.6921938165305,0.1,0.001,5.0
84,0.8095905184745789,7.768133163452148,145.19113159179688,0.8989399671554565,0.8989399671554565,0.0,415.6921938165305,0.1,0.001,5.0
85,44.39087677001953,8.580076217651367,444.3680114746094,1413.6356201171875,1413.6356201171875,0.0,415.6921938165305,0.1,0.001,5.0
86,0.004324416629970074,0.020909389480948448,146164.828125,28.704469680786133,28.704469680786133,0.0,415.6921938165305,0.1,0.001,5.0
87,45.92045211791992,22.59491539001465,31.392480850219727,1016.3221435546875,1016.3221435546875,0.0,415.6921938165305,0.1,0.001,5.0
88,4.361507892608643,3.0295112133026123,4894.47119140625,658.7930297851562,658.7930297851562,0.0,415.6921938165305,0.1,0.001,5.0
89,109.5176773071289,26.40555763244629,6.7198591232299805,3427.0546875,3427.0546875,0.0,415.6921938165305,0.1,0.001,5.0
90,1.7553387880325317,17.321056365966797,28.274126052856445,0.86818927526474,0.86818927526474,0.0,415.6921938165305,0.1,0.001,5.0
91,86.72551727294922,8.714473724365234,3.013465642929077,2037.359619140625,2037.359619140625,0.0,415.6921938165305,0.1,0.001,5.0
92,294.6317443847656,11.681328773498535,0.4215816557407379,11002.2880859375,11002.2880859375,0.0,415.6921938165305,0.1,0.001,5.0
93,0.12578646838665009,1.2162176370620728,11823.6884765625,11.816356658935547,11.816356658935547,0.0,415.6921938165305,0.1,0.001,5.0
94,0.43408069014549255,3.6965155601501465,1166.8590087890625,4.58915901184082,4.58915901184082,0.0,415.6921938165305,0.1,0.001,5.0
95,0.5360140204429626,0.23924630880355835,61363.0234375,474.68194580078125,474.68194580078125,0.0,415.6921938165305,0.1,0.001,5.0
96,5.5706682205200195,31.567964553833008,0.3883521258831024,12.965768814086914,12.965768814086914,0.0,415.6921938165305,0.1,0.001,5.0
97,63.05923843383789,7.552897930145264,7479.8798828125,8560.0869140625,8560.0869140625,0.0,415.6921938165305,0.1,0.001,5.0
98,79.57416534423828,0.41946426033973694,67771.5703125,97037.4765625,97037.4765625,0.0,415.6921938165305,0.1,0.001,5.0
99,3.1047518253326416,25.927019119262695,4.189701557159424,0.42157241702079773,0.42157241702079773,0.0,415.6921938165305,0.1,0.001,5.0
100,0.9197669625282288,0.1972506046295166,83262.7265625,1687.218994140625,1687.218994140625,0.0,415.6921938165305,0.1,0.001,5.0
101,899.3082885742188,1.9058561325073242,360.0462951660156,167311.515625,167311.515625,0.0,415.6921938165305,0.1,0.001,5.0
102,562.3528442382812,1.5600250959396362,1263.5711669921875,106412.6328125,106412.6328125,0.0,415.6921938165305,0.1,0.001,5.0
103,6.160573482513428,8.744866371154785,147.49966430664062,73.60352325439453,73.60352325439453,0.0,415.6921938165305,0.1,0.001,5.0
104,78.6054916381836,11.062186241149902,350.6716613769531,1423.9093017578125,1423.9093017578125,0.0,415.6921938165305,0.1,0.001,5.0
105,112.05525207519531,1.18097722530365,55330.88671875,120754.578125,120754.578125,0.0,415.6921938165305,0.1,0.001,5.0
106,0.01925787143409252,0.04721258580684662,110693.296875,78.49480438232422,78.49480438232422,0.0,415.6921938165305,0.1,0.001,5.0
107,4.700585842132568,30.51629066467285,1.002261996269226,3.598583221435547,3.598583221435547,0.0,415.6921938165305,0.1,0.001,5.0
108,0.8194824457168579,8.482202529907227,169.45944213867188,2.2295100688934326,2.2295100688934326,0.0,415.6921938165305,0.1,0.001,5.0
109,0.002116001211106777,0.0196330938488245,81716.328125,0.45993712544441223,0.45993712544441223,0.0,415.6921938165305,0.1,0.001,5.0
110,369.33538818359375,18.45232391357422,0.19459760189056396,30918.806640625,30918.806640625,0.0,415.6921938165305,0.1,0.001,5.0
111,2.5559375286102295,18.460058212280273,15.566116333007812,3.8977019786834717,3.8977019786834717,0.0,415.6921938165305,0.1,0.001,5.0
112,0.1593993604183197,1.5883512496948242,11504.3779296875,2.0075016021728516,2.0075016021728516,0.0,415.6921938165305,0.1,0.001,5.0
113,0.018468961119651794,0.08057405054569244,75365.6171875,38.927486419677734,38.927486419677734,0.0,415.6921938165305,0.1,0.001,5.0
114,1.8514961004257202,0.3260221481323242,29761.349609375,1025.646728515625,1025.646728515625,0.0,415.6921938165305,0.1,0.001,5.0
115,23.216604232788086,0.1892518848180771,47548.45703125,39963.4921875,39963.4921875,0.0,415.6921938165305,0.1,0.001,5.0
116,8.012553215026855,11.064475059509277,297.1783142089844,193.9336395263672,193.9336395263672,0.0,415.6921938165305,0.1,0.001,5.0
117,123.65372467041016,8.725473403930664,8.35344123840332,20200.431640625,20200.431640625,0.0,415.6921938165305,0.1,0.001,5.0
118,13.173980712890625,7.302736759185791,627.501953125,292.48126220703125,292.48126220703125,0.0,415.6921938165305,0.1,0.001,5.0
119,0.388325035572052,4.145359992980957,640.3784790039062,0.4156813323497772,0.4156813323497772,0.0,415.6921938165305,0.1,0.001,5.0
120,1.7711728811264038,1.8123271465301514,11748.5615234375,132.11346435546875,132.11346435546875,0.0,415.6921938165305,0.1,0.001,5.0
121,0.04876907169818878,0.22881563007831573,38267.69921875,26.610525131225586,26.610525131225586,0.0,415.6921938165305,0.1,0.001,5.0
122,58.52848815917969,30.271217346191406,2.069732666015625,987.6475219726562,987.6475219726562,0.0,415.6921938165305,0.1,0.001,5.0
123,366.0016174316406,7.091452121734619,828.4216918945312,18345.595703125,18345.595703125,0.0,415.6921938165305,0.1,0.001,5.0
124,1.3579108715057373,12.115884780883789,59.595672607421875,0.7188438773155212,0.7188438773155212,0.0,415.6921938165305,0.1,0.001,5.0
125,3.2926130294799805,0.3483906090259552,55371.6953125,3950.025146484375,3950.025146484375,0.0,415.6921938165305,0.1,0.001,5.0
126,0.007250627502799034,0.057198863476514816,126518.90625,0.34835243225097656,0.34835243225097656,0.0,415.6921938165305,0.1,0.001,5.0
127,0.6451352834701538,2.877563714981079,120642.7734375,61.857295989990234,61.857295989990234,0.0,415.6921938165305,0.1,0.001,5.0
128,16.18435287475586,2.0434608459472656,16997.06640625,1431.52001953125,1431.52001953125,0.0,415.6921938165305,0.1,0.001,5.0
129,11.752965927124023,3.358307361602783,1031.4735107421875,929.5730590820312,929.5730590820312,0.0,415.6921938165305,0.1,0.001,5.0
130,0.6747464537620544,4.902220249176025,578.8911743164062,17.92922592163086,17.92922592163086,0.0,415.6921938165305,0.1,0.001,5.0
131,25.95528793334961,2.189027786254883,23282.5625,10783.5771484375,10783.5771484375,0.0,415.6921938165305,0.1,0.001,5.0
132,215.7614288330078,8.272049903869629,2609.75439453125,11718.5537109375,11718.5537109375,0.0,415.6921938165305,0.1,0.001,5.0
133,285.50384521484375,0.9538160562515259,14.293482780456543,51778.984375,51778.984375,0.0,415.6921938165305,0.1,0.001,5.0
134,130.25448608398438,14.540465354919434,87.3734130859375,3577.002197265625,3577.002197265625,0.0,415.6921938165305,0.1,0.001,5.0
135,6.031691074371338,19.884143829345703,48.08871078491211,67.04715728759766,67.04715728759766,0.0,415.6921938165305,0.1,0.001,5.0
136,13.126729965209961,25.45192527770996,14.198466300964355,84.94264221191406,84.94264221191406,0.0,415.6921938165305,0.1,0.001,5.0
137,78.41768646240234,38.37941360473633,66.14647674560547,1826.4207763671875,1826.4207763671875,0.0,415.6921938165305,0.1,0.001,5.0
138,566.2792358398438,1.2557920217514038,1910.398193359375,234919.328125,234919.328125,0.0,415.6921938165305,0.1,0.001,5.0
139,1.402014970779419,12.745307922363281,59.882110595703125,5.024518013000488,5.024518013000488,0.0,415.6921938165305,0.1,0.001,5.0
140,0.1126977950334549,0.5409027934074402,10413.7412109375,38.02570724487305,38.02570724487305,0.0,415.6921938165305,0.1,0.001,5.0
141,185.6644744873047,1.1824527978897095,46535.359375,64910.6953125,64910.6953125,0.0,415.6921938165305,0.1,0.001,5.0
142,92.03406524658203,12.513317108154297,6.559721946716309,3195.543701171875,3195.543701171875,0.0,415.6921938165305,0.1,0.001,5.0
143,0.02242402732372284,0.18779081106185913,21880.79296875,10.850456237792969,10.850456237792969,0.0,415.6921938165305,0.1,0.001,5.0
144,0.9461958408355713,0.4584222435951233,10644.4580078125,489.936767578125,489.936767578125,0.0,415.6921938165305,0.1,0.001,5.0
145,9.480158805847168,2.713123321533203,4082.823974609375,975.4519653320312,975.4519653320312,0.0,415.6921938165305,0.1,0.001,5.0
146,0.9470704793930054,0.429265558719635,6938.5419921875,430.1447448730469,430.1447448730469,0.0,415.6921938165305,0.1,0.001,5.0
147,50.74399185180664,14.058762550354004,101.1500473022461,880.3445434570312,880.3445434570312,0.0,415.6921938165305,0.1,0.001,5.0
148,10.546122550964355,35.58335494995117,0.39919883012771606,39.051090240478516,39.051090240478516,0.0,415.6921938165305,0.1,0.001,5.0
149,13.350675582885742,40.89500045776367,0.520077109336853,65.34761047363281,65.34761047363281,0.0,415.6921938165305,0.1,0.001,5.0
150,665.5206298828125,9.538467407226562,2.132474422454834,262083.59375,262083.59375,0.0,415.6921938165305,0.1,0.001,5.0
151,16.81527328491211,0.38418492674827576,31773.205078125,25465.24609375,25465.24609375,0.0,415.6921938165305,0.1,0.001,5.0
152,121.47335815429688,19.11434555053711,392.8194885253906,4525.763671875,4525.763671875,0.0,415.6921938165305,0.1,0.001,5.0
153,1.135297179222107,11.037751197814941,108.12866973876953,3.184042453765869,3.184042453765869,0.0,415.6921938165305,0.1,0.001,5.0
154,8.770219802856445,37.9321174621582,3.646669387817383,39.61395263671875,39.61395263671875,0.0,415.6921938165305,0.1,0.001,5.0
155,65.07581329345703,23.673431396484375,13.093897819519043,1211.453125,1211.453125,0.0,415.6921938165305,0.1,0.001,5.0
